key,n_rows,n_sessions,top_action,purity
"큰 도움이 됐어, 지금까지 진행한 내용 한번 정리해줄래?",142,142,respond_only,1.0
"이 정도면 충분한 것 같아, 마무리하고 요약해줘",93,93,respond_only,1.0
오늘은 여기까지 하고 정리 좀 부탁해,92,92,respond_only,1.0
"여기까지 하면 될 것 같아, 진행한 거 요약해줘",86,86,respond_only,1.0
이제 그만하고 정리만 해주면 될 것 같아,84,84,respond_only,1.0
"this really helped, can you summarize what we got through?",80,80,respond_only,1.0
"자 이제 마무리하자, 지금까지 한 거 요약해줘",69,69,respond_only,1.0
좋아 이제 마무리하고 지금까지 한 거 정리해줘,67,67,respond_only,1.0
that's enough for today — wrap it up and recap please,56,56,respond_only,1.0
ok I think we're done here — summarize what we did,56,56,respond_only,1.0
"alright, let's wrap up and summarize what we did",54,54,respond_only,1.0
"this is good enough for what I needed, round it off and summarize",49,49,respond_only,1.0
"let's wrap it up, give me a quick recap",42,42,respond_only,1.0
"let's stop here, just summarize what we did",37,37,respond_only,1.0
"큰 도움이 됐어요, 지금까지 진행한 내용 한번 정리해 주실래요?",33,33,respond_only,1.0
좋아요 이제 마무리하고 지금까지 한 거 정리해 주세요,23,23,respond_only,1.0
"오늘 작업은 여기서 마무리하고, 지금까지 확인한 내용과 남은 부분을 나중에 이어서 볼 수 있게 요약해 주세요",19,19,respond_only,1.0
이제 그만하고 정리만 해주시면 될 것 같아요,18,18,respond_only,1.0
오늘은 여기까지 하고 정리 좀 부탁해요,14,14,respond_only,1.0
I think this is a good place to stop for today — could you tie off what we did and give me a clean summary?,13,13,respond_only,1.0
"TypeError: NoneType 자꾸 나는데 어디서부터 봐야 할지 모르겠어, 좀 도와줄래?",13,13,ask_user,0.7692307692307693
오늘은 이만 마무리하고 진행한 거 요약해 주세요,12,12,respond_only,1.0
"AttributeError 계속 뜨는데 어떻게 해야 할지 모르겠어, 도와줄래?",12,12,ask_user,0.5833333333333334
다시 빌드,11,11,run_bash,1.0
