condition,n_rows,n_sessions,top_label_14class,top_purity_14class,n_ask_or_plan,ask_user_count,plan_task_count,ask_plan_conditional_purity,ask_plan_favors
has_question_mark&step1,1997,1997,list_directory,0.21732598898347522,684,265,419,0.6125730994152047,plan_task
has_question_mark&step_gt1,8799,5277,grep_search,0.22275258552108193,1531,870,661,0.5682560418027433,ask_user
wh_question_word&step1,807,807,list_directory,0.2738537794299876,197,74,123,0.6243654822335025,plan_task
wh_question_word&step_gt1,4277,2289,grep_search,0.2326397007248071,403,240,163,0.5955334987593052,ask_user
asks_clarify_verb&step1,107,107,run_bash,0.34579439252336447,16,7,9,0.5625,plan_task
asks_clarify_verb&step_gt1,785,682,run_tests,0.2050955414012739,42,23,19,0.5476190476190477,ask_user
mentions_plan_noun&step1,245,245,plan_task,0.4857142857142857,171,52,119,0.695906432748538,plan_task
mentions_plan_noun&step_gt1,1106,949,ask_user,0.18354430379746836,339,203,136,0.5988200589970502,ask_user
mentions_plan_verb&step1,102,102,plan_task,0.6862745098039216,95,25,70,0.7368421052631579,plan_task
mentions_plan_verb&step_gt1,245,229,ask_user,0.3795918367346939,160,93,67,0.58125,ask_user
before_you_start&step1,4,4,ask_user,0.75,4,3,1,0.75,ask_user
before_you_start&step_gt1,13,13,plan_task,0.46153846153846156,9,3,6,0.6666666666666666,plan_task
not_sure_which&step1,29,29,plan_task,0.3793103448275862,20,9,11,0.55,plan_task
not_sure_which&step_gt1,75,74,ask_user,0.4,45,30,15,0.6666666666666666,ask_user
want_to_know_approach&step1,11,11,ask_user,0.6363636363636364,11,7,4,0.6363636363636364,ask_user
want_to_know_approach&step_gt1,43,42,ask_user,0.627906976744186,34,27,7,0.7941176470588235,ask_user
give_options&step1,19,19,plan_task,0.3684210526315789,10,3,7,0.7,plan_task
give_options&step_gt1,51,49,edit_file,0.3333333333333333,7,3,4,0.5714285714285714,plan_task
no_code_yet&step1,1,1,ask_user,1.0,1,1,0,1.0,ask_user
no_code_yet&step_gt1,1,1,plan_task,1.0,1,0,1,1.0,plan_task
