template,nonholdout_n,nonholdout_sessions,top_action,top_count,purity,holdout_n,nonholdout_action_counts,example_prompt,holdout_non_au_matches,changed_rows,fixed,broken,wrong_to_wrong,macro_f1,delta_vs_base,passes_judge_gate,passes_safe_gate
모델 바뀌었으니 마이그레이션 만들어야 하잖아요. makemigrations 명령 돌려줄래요?,2,2,run_tests,2,1.0,1,"{""run_tests"": 2}",모델 바뀌었으니 마이그레이션 만들어야 하잖아요. makemigrations 명령 돌려줄래요?,1,1,1,0,0,0.7389057973121995,0.0001335160469791985,True,True
make sure I didn't break types anywhere in the components folder,2,2,run_bash,2,1.0,1,"{""run_bash"": 2}",make sure I didn't break types anywhere in the components folder,1,1,1,0,0,0.7388764578007702,0.00010417653554983808,True,True
new on this repo. what's in the terraform dir?,2,2,glob_pattern,2,1.0,1,"{""glob_pattern"": 2}",new on this repo. what's in the terraform dir?,1,1,1,0,0,0.738862290928543,9.000966332273208e-05,True,True
_read_shards가 디스크에서 직접 읽는 것 같은데 이 함수 부르는 데가 또 어디 있나 찾아봐,2,2,grep_search,2,1.0,1,"{""grep_search"": 2}",_read_shards가 디스크에서 직접 읽는 것 같은데 이 함수 부르는 데가 또 어디 있나 찾아봐,1,1,1,0,0,0.7388435548265432,7.127356132285989e-05,True,True
에러를 어떻게 감싸서 올려보내는지 패턴이 궁금해요. fmt.Errorf로 wrap 하는 데가 얼마나 되나 전체에서 봐줄래요?,2,2,grep_search,2,1.0,1,"{""grep_search"": 2}",에러를 어떻게 감싸서 올려보내는지 패턴이 궁금해요. fmt.Errorf로 wrap 하는 데가 얼마나 되나 전체에서 봐줄래요?,1,1,1,0,0,0.7388435548265432,7.127356132285989e-05,True,True
테마 관련 건 아예 없네. 다른 데서 prefers-color-scheme 쓰는 데는 있나?,2,2,grep_search,2,1.0,1,"{""grep_search"": 2}",테마 관련 건 아예 없네. 다른 데서 prefers-color-scheme 쓰는 데는 있나?,1,1,1,0,0,0.7388435548265432,7.127356132285989e-05,True,True
show me the full middleware block,2,2,read_file,2,1.0,1,"{""read_file"": 2}",show me the full middleware block,1,1,1,0,0,0.7388432082254255,7.092696020516431e-05,True,True
left a dangling colon. patch it,2,2,edit_file,2,1.0,1,"{""edit_file"": 2}",left a dangling colon. patch it,1,1,1,0,0,0.738842208758624,6.992749340373194e-05,True,True
"페이지 상태(page, <IDENT>) 추가하고 20개씩 끊어서 보여주게 인덱스 페이지 고쳐줘",2,2,edit_file,2,1.0,1,"{""edit_file"": 2}","페이지 상태(page, pageSize) 추가하고 20개씩 끊어서 보여주게 인덱스 페이지 고쳐줘",1,1,1,0,0,0.738842208758624,6.992749340373194e-05,True,True
홈 화면이랑 버튼 컴포넌트에 동시에 접근성 라벨 일괄로 넣어야 돼. 두 파일 같이 패치해줘,2,2,edit_file,2,1.0,1,"{""edit_file"": 2}",홈 화면이랑 버튼 컴포넌트에 동시에 접근성 라벨 일괄로 넣어야 돼. 두 파일 같이 패치해줘,1,1,1,0,0,0.738842208758624,6.992749340373194e-05,True,True
import 에러 나는데 <IDENT> requests 래 ㅠㅠ <<IDENT>> 에 빠진 거 아냐? 열어봐,4,4,read_file,4,1.0,1,"{""read_file"": 4}",import 에러 나는데 ModuleNotFoundError requests 래 ㅠㅠ Cargo.lock 에 빠진 거 아냐? 열어봐,1,1,1,0,0,0.7388324253751036,6.014410988330887e-05,True,True
tidy 돌린 다음 <<IDENT>> 어떻게 바뀌었나 확인하자,2,2,read_file,2,1.0,2,"{""read_file"": 2}",tidy 돌린 다음 models/staging/stg_users.sql 어떻게 바뀌었나 확인하자,2,1,1,0,0,0.7388324253751036,6.014410988330887e-05,True,True
Timeout has me stuck — how would you approach this?,2,2,ask_user,2,1.0,1,"{""ask_user"": 2}",Timeout has me stuck — how would you approach this?,1,1,0,0,1,0.738832284853429,6.0003588208679126e-05,True,False
생각보다 여기저기서 쓰네 ㅠ 이거 막 건드리기 전에 공용 헬퍼 어디 두는 게 fastapi에서 보통 권장되는 패턴인지 좀 알아봐줄 수 있어?,4,4,plan_task,4,1.0,1,"{""plan_task"": 4}",생각보다 여기저기서 쓰네 ㅠ 이거 막 건드리기 전에 공용 헬퍼 어디 두는 게 fastapi에서 보통 권장되는 패턴인지 좀 알아봐줄 수 있어?,1,1,0,0,1,0.7388262625680954,5.3981302875039106e-05,True,False
어 안 쓰네 ㅎㅎ pandas는?,2,2,read_file,2,1.0,1,"{""read_file"": 2}",어 안 쓰네 ㅎㅎ pandas는?,1,1,0,0,1,0.7387905128573483,1.8231592127992968e-05,True,False
로그인은 되는데 좀 있다가 API 부르면 죄다 <NUM> 떨어지고 앱이 무한 새로고침 도는 느낌임. <<IDENT>> 인터셉터 어떻게 짜여있어?,3,3,read_file,3,1.0,1,"{""read_file"": 3}",로그인은 되는데 좀 있다가 API 부르면 죄다 401 떨어지고 앱이 무한 새로고침 도는 느낌임. Cargo.toml 인터셉터 어떻게 짜여있어?,1,1,0,0,1,0.7387797300070265,7.4487418061375266e-06,True,False
"ci went red overnight, the parser is choking on empty input somewhere. can you poke around the parser module?",2,2,read_file,2,1.0,1,"{""read_file"": 2}","ci went red overnight, the parser is choking on empty input somewhere. can you poke around the parser module?",1,1,0,0,1,0.7387741551564969,1.8738912765936533e-06,True,False
전체 테스트 한번 다 돌려보자,2,2,run_tests,2,1.0,1,"{""run_tests"": 2}",전체 테스트 한번 다 돌려보자,1,1,0,0,1,0.7387727357205336,4.544553132701523e-07,True,False
캐시 무효화까지 깔끔하게 됐네요. 타입쪽도 혹시 모르니 <<IDENT>> 정적분석 한번만 더 돌려줄래요?,2,2,run_tests,2,1.0,1,"{""run_tests"": 2}",캐시 무효화까지 깔끔하게 됐네요. 타입쪽도 혹시 모르니 src/main/java/com/app/service/UserService.java 정적분석 한번만 더 돌려줄래요?,1,1,0,0,1,0.7387727357205336,4.544553132701523e-07,True,False
다시 빌드,11,11,run_bash,11,1.0,0,"{""run_bash"": 11}",다시 빌드,0,0,0,0,0,0.7387722812652203,0.0,False,False
augment 로직은 따로 모듈로 빼는 게 깔끔할 것 같아. <<IDENT>> 새로 만들어서 <<IDENT>> 정도 골격 잡아줄래?,5,5,write_file,5,1.0,1,"{""write_file"": 5}",augment 로직은 따로 모듈로 빼는 게 깔끔할 것 같아. src/data/augment.py 새로 만들어서 RandomCrop/Flip 정도 골격 잡아줄래?,1,0,0,0,0,0.7387722812652203,0.0,False,False
다시 타입체크,5,5,lint_or_typecheck,5,1.0,1,"{""lint_or_typecheck"": 5}",다시 타입체크,0,0,0,0,0,0.7387722812652203,0.0,False,False
그냥 직접 구현하는 게 낫겠다. 파티클 시스템 새 파일로 짜줘,4,4,write_file,4,1.0,1,"{""write_file"": 4}",그냥 직접 구현하는 게 낫겠다. 파티클 시스템 새 파일로 짜줘,1,0,0,0,0,0.7387722812652203,0.0,False,False
라우팅이랑 시리얼라이저 둘 다 손봐야겠다. basename 추가하고 시리얼라이저 필드 매칭까지 같이 패치해줘,4,4,edit_file,4,1.0,1,"{""edit_file"": 4}",라우팅이랑 시리얼라이저 둘 다 손봐야겠다. basename 추가하고 시리얼라이저 필드 매칭까지 같이 패치해줘,1,0,0,0,0,0.7387722812652203,0.0,False,False
이 프로젝트 인메모리 캐시 같은 거 쓰나? 캐시 관련 코드 검색,4,4,grep_search,4,1.0,1,"{""grep_search"": 4}",이 프로젝트 인메모리 캐시 같은 거 쓰나? 캐시 관련 코드 검색,1,0,0,0,0,0.7387722812652203,0.0,False,False
헤더에서 로그인 성공하면 토스트 한번 띄우게 연결해볼래?,4,4,edit_file,4,1.0,1,"{""edit_file"": 4}",헤더에서 로그인 성공하면 토스트 한번 띄우게 연결해볼래?,1,0,0,0,0,0.7387722812652203,0.0,False,False
add a matching test for the meta tag,4,4,write_file,4,1.0,0,"{""write_file"": 4}",add a matching test for the meta tag,0,0,0,0,0,0.7387722812652203,0.0,False,False
go with the plan. rewrite <<IDENT>> accordingly,4,4,write_file,4,1.0,0,"{""write_file"": 4}",go with the plan. rewrite transformer.py accordingly,0,0,0,0,0,0.7387722812652203,0.0,False,False
lint 타겟 이름이랑 그 안 명령 go vet 쓰게 정리,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",lint 타겟 이름이랑 그 안 명령 go vet 쓰게 정리,0,0,0,0,0,0.7387722812652203,0.0,False,False
missing. add the lr_schedule section under optimizer,4,4,apply_patch,4,1.0,0,"{""apply_patch"": 4}",missing. add the lr_schedule section under optimizer,0,0,0,0,0,0.7387722812652203,0.0,False,False
run it again,4,4,run_bash,4,1.0,0,"{""run_bash"": 4}",run it again,0,0,0,0,0,0.7387722812652203,0.0,False,False
serde는 있는데 serde_json은 없네. 한 줄 추가해줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",serde는 있는데 serde_json은 없네. 한 줄 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
